Swap Counterparty and Reference Obligation,"Buy/Sell
  Protection","Notional
  Amount
  (000)","Pay/Receive
  Fixed Rate","Termination
  Date",CIK,Reporting Type,Report Year
Lehman Brothers,Buy,210000,0.45,3/20/18,0000741375,N-CSRS,08
Lehman Brothers,Buy,75000,0.46,3/20/18,0000741375,N-CSRS,08
Lehman Brothers,Sell,600000,0.6,12/20/12,0000741375,N-CSRS,08
Lehman Brothers,Sell,330000,0.6,12/20/12,0000741375,N-CSRS,08
Lehman Brothers,Buy,375000,0.2,12/20/11,0000741375,N-CSRS,08
Merrill Lynch,Buy,100000,1.5,3/20/18,0000741375,N-CSRS,08
Merrill Lynch,Buy,140000,1.57,3/20/18,0000741375,N-CSRS,08
Merrill Lynch,Buy,135000,1.6,3/20/18,0000741375,N-CSRS,08
Merrill Lynch,Buy,200000,0.92,3/20/18,0000741375,N-CSRS,08
UBS,Buy,460000,0.3,3/20/13,0000741375,N-CSRS,08
UBS,Buy,130000,1.78,3/20/13,0000741375,N-CSRS,08
UBS,Buy,130000,1.73,3/20/18,0000741375,N-CSRS,08
UBS,Buy,310000,1.06,3/20/13,0000741375,N-CSRS,08
UBS,Buy,100000,1,3/20/13,0000741375,N-CSRS,08
UBS,Buy,155000,1.01,3/20/13,0000741375,N-CSRS,08
Goldman Sachs,Buy,175000,0.59,3/20/13,0000741375,N-CSRS,08
Goldman Sachs,Buy,185000,0.22,3/20/12,0000741375,N-CSRS,08
Goldman Sachs,Sell,95000,0.6,12/20/12,0000741375,N-CSRS,08
Goldman Sachs,Sell,185000,0.8,12/20/17,0000741375,N-CSRS,08
Goldman Sachs,Sell,180000,1.4,12/20/12,0000741375,N-CSRS,08
Goldman Sachs,Sell,380000,1.4,12/20/12,0000741375,N-CSRS,08
Goldman Sachs,Sell,180000,1.4,12/20/12,0000741375,N-CSRS,08
Goldman Sachs,Sell,175000,1.4,12/20/12,0000741375,N-CSRS,08
Goldman Sachs,Buy,40000,0.97,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,55000,0.47,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,120000,0.15,12/20/11,0000741375,N-CSRS,08
Goldman Sachs,Buy,250000,0.16,12/20/11,0000741375,N-CSRS,08
Goldman Sachs,Buy,50000,3.33,3/20/13,0000741375,N-CSRS,08
Goldman Sachs,Buy,65000,1.08,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,30000,1.24,3/20/18,0000741375,N-CSRS,08
Goldman Sachs,Buy,100000,1.05,3/20/13,0000741375,N-CSRS,08
Goldman Sachs,Buy,370000,0.1,3/20/12,0000741375,N-CSRS,08
Goldman Sachs,Buy,350000,0.12,12/20/11,0000741375,N-CSRS,08
JPMorgan Chase,Sell,380000,0.6,12/20/12,0000741375,N-CSRS,08
JPMorgan Chase,Buy,35000,0.6,3/20/13,0000741375,N-CSRS,08
JPMorgan Chase,Buy,55000,1.07,3/20/18,0000741375,N-CSRS,08
JPMorgan Chase,Buy,55000,1.15,3/20/18,0000741375,N-CSRS,08
JPMorgan Chase,Buy,45000,0.58,3/20/13,0000741375,N-CSRS,08
JPMorgan Chase,Buy,65000,0.63,3/20/13,0000741375,N-CSRS,08
"Bank
  of America",Buy,275000,0.7,3/20/13,0000741375,N-CSRS,08
"Bank
  of America",Buy,180000,0.82,3/20/18,0000741375,N-CSRS,08
